,scenario,id_feature,short_clear_motivation,score,model_name,model_size,environment,model_name_understanding,model_size_understanding
0,001-smart_agriculture,0,"Valid Python, functions, calls, variables, lines of code and instructions exist.",100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
1,001-smart_agriculture,1,LoRa setup implemented correctly via gRPC calls.,100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
2,001-smart_agriculture,2,"No WiFi description in JSON, but WiFi functions exists",0.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
3,001-smart_agriculture,3,Correct Python functions present.,100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
4,002-smart_agriculture,0,"Correct syntax, functions, calls, and sufficient code",100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
5,002-smart_agriculture,1,"LoRa functions implemented correctly using gRPC, matching the blueprint",100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
6,002-smart_agriculture,2,"No WiFi required in blueprint, WiFi functions absent",100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
7,002-smart_agriculture,3,Valid Python code with functions and commands,100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
8,003-smart_agriculture,0,"Valid Python code with functions, calls, declarations and execution",100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
9,003-smart_agriculture,1,Implements LoRa setup using gRPC as required by blueprint,100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
10,003-smart_agriculture,2,Does not implement WiFi setup and it is not required by JSON blueprint,100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
11,003-smart_agriculture,3,"Valid Python code, implements required setup",100.0,codestral-2501,large,real,gemini-2.0-flash-exp,large
12,001-smart_agriculture,0,"Valid Python code structure and function calls are present, but details of LoRa and WiFi are not implemented.",40.0,google/codegemma-7b-it,small,real,gemini-2.0-flash-exp,large
13,001-smart_agriculture,1,"LoRa devices are described in the blueprint, but the provided code does not implement LoRa setup or gRPC function calls.",0.0,google/codegemma-7b-it,small,real,gemini-2.0-flash-exp,large
14,001-smart_agriculture,2,"WiFi devices are not described in the blueprint, and no WiFi functions should be implemented. The code has LoRa but is not correctly implemented.",0.0,google/codegemma-7b-it,small,real,gemini-2.0-flash-exp,large
15,001-smart_agriculture,3,"The blueprint contains LoRa. The python code contains LoRa code with LoRa settings and configurations, but fails on gRPC or Framework implementation.",0.0,google/codegemma-7b-it,small,real,gemini-2.0-flash-exp,large
16,002-smart_agriculture,0,"Valid Python code, defines functions, calls, variable declarations, and contains function execution",100.0,google/codegemma-7b-it,small,real,gemini-2.0-flash-exp,large
17,002-smart_agriculture,1,"Blueprint describes LoRa, code implements LoRa setup using correct functions",100.0,google/codegemma-7b-it,small,real,gemini-2.0-flash-exp,large
